,fecha,prices bitcoin,market_caps bitcoin,total_volumes bitcoin,prices ethereum,market_caps ethereum,total_volumes ethereum,prices binancecoin,market_caps binancecoin,total_volumes binancecoin,prices cardano,market_caps cardano,total_volumes cardano,prices dogecoin,market_caps dogecoin,total_volumes dogecoin,prices solana,market_caps solana,total_volumes solana,prices polkadot,market_caps polkadot,total_volumes polkadot,prices matic-network,market_caps matic-network,total_volumes matic-network,prices litecoin,market_caps litecoin,total_volumes litecoin,prices ripple,market_caps ripple,total_volumes ripple,Year,Month
0,2020-08-18,11949.61,220980135332.21396,24825715158.705486,422.11,47400903599.29812,12062999738.137259,22.97,3397690721.6801467,271410617.3488436,0.14,4251110381.6482053,489748686.65121776,0.0,441006364.9145029,164627570.36583242,3.33,103512572.72250581,29613499.054796744,2.94,0.0,82413981.29681122,0.03,101109111.8683189,33305891.584992845,65.44,4278578439.1378984,3663784454.302389,0.3,13616539460.561516,2727046213.8384895,2020,8
1,2020-08-19,11733.28,216660276172.5052,23384200655.888924,406.57,45642757811.590775,12854733824.945929,22.31,3302382351.2778296,240981711.80246103,0.13,4031820062.1498275,490727213.1136873,0.0,430662605.5681417,156615204.07672262,2.9,91194729.76245809,15448650.496923096,2.94,0.0,82413981.29681122,0.02,93387821.04482257,32365643.622047596,61.98,4046064926.889311,3275367623.55599,0.29,13039045107.718191,2493335942.2243185,2020,8
2,2020-08-20,11861.84,219044968220.88754,20353349054.591465,416.47,46754739209.41609,10564357237.821798,23.07,3414255884.599508,253331918.21161318,0.13,4121466418.821199,410697982.498588,0.0,433986248.27594167,173128139.1204306,3.21,101186302.29256418,13595404.010378797,2.9,0.0,49511744.88463916,0.03,100555689.9066899,22158468.474215567,62.88,4108057993.8320065,2803148157.0237627,0.29,13121088346.449871,2370638516.8312345,2020,8
3,2020-08-21,11515.12,212896669545.7498,23406354443.011192,386.82,43434501400.18814,12518435194.162006,22.09,3260640031.8602395,262582143.53376904,0.12,3804306212.9732656,472861750.9388768,0.0,426368126.7315801,175010652.25451544,2.93,92576368.0854075,12006369.819543839,2.87,0.0,51233752.827103466,0.02,94178529.29907046,31427836.439063977,59.11,3863363752.8612156,2803094220.940219,0.28,12559855812.78279,2286851251.474602,2020,8
4,2020-08-22,11676.39,215641597239.98148,19572783953.57896,395.89,44454504740.72998,10612983427.483643,22.18,3277780668.5864797,207704017.55741757,0.13,3895011240.501409,436863558.43138355,0.0,433687186.8662086,159336753.3741113,3.02,95149797.26079312,10159244.74494122,4.48,4028277492.3881054,473920951.2911821,0.03,98421781.90327896,19624219.561753295,60.32,3938571502.0642357,2344594618.7100277,0.29,12828364996.706217,2079080814.4632735,2020,8
5,2020-08-23,11647.93,215347356765.4613,18467219109.184135,390.79,44021875258.788315,9775318835.217514,21.84,3233813725.379268,191951846.5603934,0.12,3785715669.018159,393530785.7774772,0.0,429382341.7311321,137749412.2815627,3.33,104838610.42033501,11705563.476910876,3.97,3630430965.6868463,335685225.4482104,0.03,95409236.89533193,10661072.212880287,60.54,3962884581.344576,2351640514.019611,0.29,12847345400.40493,1854462300.194022,2020,8
6,2020-08-24,11758.83,217410678530.35837,20061559392.103256,408.27,45914782850.88361,11007565809.594412,22.57,3336417081.5551314,198567502.87549114,0.12,3855071339.437391,406394741.1841569,0.0,427299861.9938455,155243881.13190958,3.34,105025071.74355629,15583655.536926841,4.58,4162344881.7015166,395502571.8989607,0.03,105559169.42394708,26518018.73482229,62.25,4065791711.028731,2481333814.549704,0.29,12990310946.328604,1854683294.3507082,2020,8
7,2020-08-25,11350.75,209658632328.37,23423332918.936924,383.66,43097616381.47341,12857413913.19107,21.45,3176756104.727373,246965279.2546199,0.11,3504233317.878908,498886621.43977463,0.0,414344678.9573803,156830695.32774574,3.26,103504610.60526419,12533596.20470018,5.49,4910960800.05402,729611892.217292,0.03,97917129.58688271,21324995.386549994,58.51,3821387499.29988,2572102995.882607,0.28,12481198829.120821,2090806113.4462192,2020,8
8,2020-08-26,11465.0,211778947737.22385,20869928785.800804,385.75,43337732292.52325,10454041361.377256,22.23,3295697167.2175984,265829129.09790176,0.11,3561449684.14301,448522382.0338251,0.0,414322072.14791024,170734081.2197819,3.55,114219136.44905476,22112806.023894925,6.07,5508438431.636099,853376793.3117362,0.03,101354260.40222725,21554527.74653003,58.21,3802533400.96904,2100170962.10289,0.28,12444058389.73597,1722297777.186539,2020,8
9,2020-08-27,11300.4,208747591910.15524,21595917446.043972,381.84,42903096293.90094,10466849103.532475,23.07,3411961399.9894276,298087776.5902209,0.11,3318730028.135312,445998081.72096795,0.0,402012074.8127915,169144169.74027976,3.43,110491240.21623018,21498130.288651012,5.64,5147685413.841153,995432623.197182,0.03,96856471.16094671,18313345.730522845,55.96,3655777163.408252,2125919901.9150841,0.26,11892725357.024134,2044208784.585677,2020,8
